f,E_stor,E_loss,T,Set
Hz,MPa,MPa,Â°C,-
0.0004409818801208571,104.17521157353725,820.7201842914246,1,1
0.0006129648133679909,168.61635561501942,1115.595067652124,1,1
0.0008555048474344625,273.4077533283735,1509.9541971348524,1,1
0.0011950608951275224,426.251731461309,2003.499418155828,1,1
0.0016669115068568383,661.6447753574389,2644.7305430103042,1,1
0.0016993362843539517,706.6535863597447,2779.3809466757257,1,1
0.0023239745082369164,1008.8557266580583,3453.822698534219,1,1
0.0023620774352519913,1075.8829561845384,3630.3809979663,1,1
0.0032412168188882978,1523.1723836825342,4485.33817355973,1,1
0.003296712391646665,1612.426405560771,4687.690144066343,1,1
0.004542113365244828,2224.332579877254,5699.324253860017,1,1
0.0046052013305992075,2382.939946485209,6002.935588275233,1,1
0.0063060408857282535,3178.62601770315,7126.391476703388,1,1
0.006423491154857931,3417.980492322665,7564.134227312641,1,1
0.008775539414405054,4452.739939066204,8803.212855895079,1,1
0.008955502218545323,4800.531033289337,9368.889440522513,1,1
0.010000000000000004,5293.200000000003,9828.899999999992,1,1
0.012259296267359823,6138.704725493874,10733.56501616298,1,1
0.012490121690001526,6638.139921326077,11469.827023144255,1,1
0.013899999999999997,7227.799999999997,11940.000000000005,1,1
0.017110096948689257,8269.615535786,12879.28417078296,1,1
0.017503163728845684,8961.863365767722,13767.587077145186,1,1
0.0194,9670.300000000005,14283.0,1,1
0.023857119714538355,10967.119440125773,15241.662322951413,1,1
0.024300508866261485,11899.221557355644,16305.009196752493,1,1
0.027100000000000003,12745.999999999989,16811.00000000001,1,1
0.03325003376111261,14201.102825551168,17719.326914182388,1,1
0.03381679205864361,15355.348261787314,18994.21729124383,1,1
0.03779999999999999,16407.999999999996,19456.000000000015,1,1
0.04630309741268999,18075.124717495924,20313.27179308842,1,1
0.04724154870503982,19623.330213460522,21804.255010478366,1,1
0.052700000000000004,20658.999999999996,22221.99999999999,1,1
0.06482433637776598,22589.185115960005,22965.853740138344,1,1
0.06593424783293327,24552.380029431264,24725.13643505586,1,1
0.0735,25703.000000000007,25069.000000000004,1,1
0.09040128542477566,27745.271718168682,25597.56486632348,1,1
0.09193409298354872,30153.482221039823,27557.143176970985,1,1
0.103,31343.999999999993,27788.00000000002,1,1
0.1051496056912294,30337.63596582895,26846.522574415438,1,1
0.1256798358344442,33528.47679493277,28151.755800725205,1,1
0.12812995584028786,36425.638196346226,30276.309029663076,1,1
0.143,37575.000000000015,30353.000000000007,1,1
0.14615795191080877,36451.565293632484,29464.359740994492,1,1
0.17551078828810104,39910.97258509935,30607.55572247879,1,1
0.1784303098571648,43273.981721047836,32896.614280292604,1,1
0.199,44530.00000000001,33080.999999999985,1,1
0.20399023504098496,43141.04041157777,32084.18841549791,1,1
0.24474494346707557,46868.906721965664,32925.21068707995,1,1
0.24980243380003067,50679.5395482843,35366.13214797813,1,1
0.278,52112.00000000002,35381.99999999997,1,1
0.2849554314232316,50714.745047941535,34269.86836248955,1,1
0.34131997521354335,54304.88204149638,35032.169745808176,1,1
0.34836393829255974,58713.211705797425,37631.93725989818,1,1
0.388,60121.00000000003,37746.0,1,1
0.3974655095128469,58305.37750166246,36260.38053289334,1,1
0.47626043053052547,62182.12614502493,36945.328325077964,1,1
0.4843108410408758,67225.20940258316,39667.06763367221,1,1
0.541,68762.99999999997,39399.999999999985,1,1
0.5541384219927787,66498.44110250399,38247.90544141057,1,1
0.6614728201812854,70419.1434463173,38641.827906799284,1,1
0.6763358411728722,76139.63965119963,41514.46272272121,1,1
0.754,77491.99999999996,41147.999999999985,1,1
0.7728496018305356,75199.33922405887,39854.05658241175,1,1
0.9260619482537995,78995.06312450905,40161.42243547643,1,1
0.9431316378164423,85431.53765314612,43160.14223988483,1,1
1.05,86568.99999999997,42565.99999999998,1,1
1.0830409386196622,83518.86357809781,41269.022962673786,1,1
1.292076908754111,87792.61104331225,41495.16727359593,1,1
1.3152862840899577,94965.09490457895,44597.11604158298,1,1
1.47,95849.99999999996,43865.00000000001,1,1
1.5036393613845795,92655.90193508883,42557.52858973852,1,1
1.7992060708930961,96784.95329018662,42706.668732364735,1,1
1.8352831871022661,104852.1537027813,45866.32639735659,1,1
2.05,105000.00000000004,45141.0,1,1
2.0924771532554645,102562.6581048473,43803.21679642946,1,1
2.509186897887675,106341.80154902207,43849.594636863556,1,1
2.5490044265309253,114838.07310304625,47079.61560448879,1,1
2.6410090713963426,100010.96605978734,42102.655711835934,1,1
2.85,115000.00000000009,46179.00000000003,1,1
2.923159038216176,111524.4437644942,44808.92829823425,1,1
3.4969863093583964,115286.43906249125,44990.53284413722,1,1
3.5686061971432954,124823.99250331095,48275.92874864059,1,1
3.671002609240914,109815.96273231551,43188.06884348478,1,1
3.98,124999.99999999991,47343.99999999998,1,1
4.0798047008196985,120486.22942414101,46214.932892836616,1,1
4.89489886934151,124231.07657596024,46224.89282099589,1,1
4.979055313157075,134809.91190357602,49576.095454555034,1,1
5.123557598508903,118640.45973759085,45065.72570627394,1,1
5.55,135000.00000000012,48697.00000000002,1,1
5.688593667895509,130443.76904597078,47271.427846712766,1,1
6.791120953861199,134169.56270203728,47664.97946066443,1,1
6.933292040164117,144795.83130384074,51066.993221014585,1,1
7.157134583484086,127464.95674286624,46157.02183592633,1,1
7.740000000000002,144000.00000000012,50222.00000000001,1,1
7.9282802691186935,140401.30866780068,48794.93140885272,1,1
9.481110422598421,143114.2002155064,49391.29450076404,1,1
9.669223457973974,154781.75070410568,52944.346068264356,1,1
9.983014289878168,136289.45374814147,47030.64703944864,1,1
10.8,154000.00000000003,52213.99999999997,1,1
11.040708597579084,150358.8482896306,50654.00405624839,1,1
13.229456403625706,153052.68634158315,51575.77375127568,1,1
13.47573673492683,164767.67010437063,55362.935747008494,1,1
13.91811780625872,146094.4504206698,49313.250264813134,1,1
15.0,163999.99999999985,54740.00000000003,1,1
15.45699203661071,159320.63394927728,53186.20638207966,1,1
18.862632756328843,175752.18144466198,58520.48346137234,1,1
19.411416674763107,155899.44709319784,52553.80166508375,1,1
21.0,175000.00000000003,58069.00000000002,1,1
21.555669166702014,169278.1735711072,56436.34731464492,1,1
26.16977877905084,186736.69278495348,62732.54426440407,1,1
27.202393435382312,165704.44376572614,55680.61510395297,1,1
29.300000000000004,185000.00000000006,62496.00000000002,1,1
29.967637622000375,180231.4671551199,60926.20193012809,1,1
36.535730113609915,197721.2041252448,68256.75487663056,1,1
37.76642972096768,175509.44043825415,60058.54611823679,1,1
40.8,196000.00000000006,68353.0,1,1
41.84954306510928,191184.7607391328,66734.43479154143,1,1
50.980088530618495,209704.30740556263,75439.62670124113,1,1
52.5560805207872,186294.93677803534,66768.10534124786,1,1
56.899999999999984,207999.99999999994,76003.0,1,1
58.358031158632286,202138.05432314577,74266.31776149351,1,1
73.4200521848183,197080.43311781614,75427.87840242474,1,1
79.30000000000003,221000.00000000006,85895.99999999999,1,1
81.38579480501154,214087.10186934154,84002.80000371874,1,1
102.47115197017808,208846.42912485002,85613.30894584693,1,1
110.99999999999997,235999.99999999983,98559.0,1,1
113.56157414652775,228027.65733990306,96590.12583967374,1,1
142.87859076254205,223553.92413364205,99030.4663925346,1,1
154.00000000000006,252000.00000000017,115000.00000000009,1,1
157.72440853684404,243959.7207348308,112520.19772667714,1,1
199.13208398328405,239241.9188096871,116679.46040308531,1,1
214.99999999999991,271000.0,135000.00000000012,1,1
220.81417195158164,261883.2920541249,132435.2769703368,1,1
277.3059524966159,257871.41248749103,139230.9527499001,1,1
299.99999999999994,292999.99999999977,159999.9999999999,1,1
308.0883446753019,283789.8792221503,157329.12602491153,1,1
388.22833349526223,279442.4051670528,166684.94343297888,1,1
429.01039122021575,308683.7282767249,189193.252814767,1,1
541.4068596362499,304935.39651562617,201982.93145408027,1,1
598.3012563830946,337560.5931800312,227031.90337772007,1,1
752.6875853479572,334350.3865332108,246105.4164804569,1,1
833.8363731314494,372411.98185643554,274828.0935625033,1,1
1051.1216104157443,369648.3745543119,300032.8981793619,1,1
1167.1606231726462,414233.64826812106,334573.3312934824,1,1
1465.76003462497,411809.8602461833,368667.87488705944,1,1
1619.303927644932,464021.3463772705,408259.12449502334,1,1
2044.1410212607698,462795.8429433293,454951.8456053073,1,1
2260.716522361431,522770.8301460662,499868.4890158575,1,1
2852.289797108049,523586.82231300464,563787.3086703697,1,1
3154.4881707368786,594465.1154232417,614380.1946669003,1,1
3961.5136070945105,598104.7970242184,703018.2614202694,1,1
5546.119049932319,687330.2667442245,880488.7011930288,1,1
7738.156579191288,796165.7298092878,1107964.6239956822,1,1
10775.317011297078,930494.1842229224,1392309.527499,1,1
15027.341616245192,1098159.6273231544,1764899.4010550687,1,1
20943.201936172994,1313869.5541187741,2255149.234681479,1,1
29315.200692499384,1608019.45429462,2872864.025050754,1,1
40671.53969950371,1990414.3245232177,3667068.755525536,1,1
56781.69503502132,2539494.138184797,4686788.409468463,1,1
79230.27214189016,3304283.878641995,5961437.976897122,1,1
